No,DistrictName,CentreName,As,Bs,Cs,Ds,Es, Absent,Total
63.0,LIRA,"ST.GRACIOUS SECONDARY SCHOOL,LIRA",251,828,488,53,0,18,1638
77.0,GULU,OCER CAMPION JESUIT COLLEGE,212,1006,432,6,0,0,1656
117.0,LIRA,"MENTOR SECONDARY SCHOOL,LIRA",155,717,658,65,1,9,1605
137.0,PADER,ARCHBP.FLYNN SECONDARY SCHOOL,137,689,392,33,0,0,1251
140.0,GULU,"ST.JOHN PAUL II COLLEGE,GULU",135,595,475,54,1,0,1260
151.0,MOYO,"ST.THOMAS AQUINAS SECONDARY SCHOOL,EREPI",128,504,675,150,1,0,1458
152.0,LIRA,ANGELIKA SECONDARY SCHOOL,127,611,1181,550,24,9,2502
171.0,GULU,"ST.JOSEPH'S COLLEGE,LAYIBI",116,609,444,55,0,0,1224
176.0,ARUA,EDIOFE GIRLS' SECONDARY SCHOOL,114,976,1023,154,1,0,2268
188.0,LIRA,"FAITH SECONDARY SCHOOL,LIRA",106,528,353,39,0,0,1026
209.0,LIRA,"DARA CHRISTIAN HIGH SCHOOL,LIRA",91,553,467,50,0,9,1170
292.0,ARUA,MVARA SECONDARY SCHOOL,70,397,1062,493,13,3,2038
300.0,LIRA,"DR.OBOTE COLLEGE,BOROBORO",68,575,522,56,2,0,1223
311.0,LIRA,ST.KATHERINE SECONDARY SCHOOL,64,841,1297,289,11,9,2511
338.0,LIRA,ST.MARY MAGDALENE GIRLS SECONDARY SCHOOL,61,368,723,248,4,9,1413
363.0,MOYO,"ST.ANDREW'S COLLEGE,MOYO",56,483,423,45,1,0,1008
387.0,AMURU,"RESTORE LEADERSHIP HIGH SCHOOL,GULU",52,571,555,62,1,0,1241
427.0,NAPAK,KANGOLE GIRLS' SCHOOL,48,496,717,122,3,0,1386
431.0,LIRA,"LIGHT VOCATIONAL SECONDARY SCHOOL,LIRA",47,731,1277,516,21,18,2610
440.0,GULU,GULU CENTRAL HIGH SCHOOL,46,317,668,243,4,0,1278
456.0,AGAGO,LIRA PALWO SECONDARY SCHOOL,43,302,464,224,6,0,1039
471.0,ARUA,"ST.JOSEPH'S COLLEGE,OMBACI",41,502,545,46,0,0,1134
479.0,ARUA,"CORNERSTONE SECONDARY SCHOOL,ARUA",40,488,932,195,10,9,1674
491.0,ADJUMANI,"COMBONI COMPREHENSIVE COLLEGE,ADJUMANI",39,265,567,239,11,9,1130
495.0,GULU,GULU ARMY SECONDARY SCHOOL,38,525,1592,828,41,0,3024
497.0,MOROTO,MOROTO HIGH SCHOOL,38,418,808,262,2,0,1528
498.0,LIRA,"COMBONI COLLEGE,LIRA",38,343,362,40,0,9,792
520.0,OYAM,LORO SECONDARY SCHOOL,36,464,1286,671,38,16,2511
560.0,ABIM,ABIM SECONDARY SCHOOL,33,350,843,291,12,0,1529
573.0,ARUA,USHINDI SECONDARY SCHOOL,32,422,461,57,0,0,972
579.0,GULU,"BISHOP ANGELO NEGRI COLLEGE,GULU",32,261,418,115,2,0,828
580.0,ADJUMANI,PAGIRINYA SECONDARY SCHOOL,32,254,906,530,23,9,1754
